movie,year,genre,youtube_title,youtube_url
Oka Laila Kosam,2014.0,"Comedy, Romance            ","""Oka Laila Kosam "" Telugu Movie Trailer || Naga Chaitanya, Pooja Hegde",https://www.youtube.com/watch?v=jccLiscKEMM
Ra Ra Krishnayya,2014.0,Romance            ,"Ra Ra Krishnayya Theatrical Trailer   Sandeep Kishan, Regina, Jagapathi Babu",https://www.youtube.com/watch?v=5nh7X3Ic8wI
Kotha Janta,2014.0,"Comedy, Drama            ","Kotha Janta Movie Theatrical Trailer - Allu Sirish, Regina",https://www.youtube.com/watch?v=fCe9JVlXbyo
Lovers,2014.0,Romance            ,Lover - Trailer | HDR | Manikandan | Sri Gouri Priya | Kanna Ravi | Sean Roldan | Prabhuram Vyas,https://www.youtube.com/watch?v=UkFD3pKmSks
Drushyam,2014.0,"Crime, Drama, Family            ","Drishyam - Official Trailer | Starring Ajay Devgn, Tabu & Shriya Saran",https://www.youtube.com/watch?v=64xJLmcA2K8
Aagadu,2014.0,"Action, Comedy            ","Aagadu - Trailer ft.Tamannaah Bhatia, Sonu Sood, Mahesh Babu & Brahmanandam",https://www.youtube.com/watch?v=qWM09LFpJ8Q
Brother of Bommali,2014.0,"Action, Drama            ","Brother of Bommali Movie Trailer - Allari Naresh, Monal Gajjar - Latest Telugu Movie Tralier 2014",https://www.youtube.com/watch?v=4Ip8MLHFGCM
Paathshala,2014.0,Drama            ,Paathshaala - Official Trailer | Shahid Kapoor | Ayesha Takia,https://www.youtube.com/watch?v=-KsUbQa6QpM
Ice Cream 2,2014.0,"Horror, Thriller            ",Ice Cream 2 Trailer 2 HD - Ram Gopal Varma,https://www.youtube.com/watch?v=BseaO6pWgMk
Rough,2014.0,Romance            ,Rough | Official Trailer | Raging Stallion Studios,https://www.youtube.com/watch?v=NgDRsk5GKXM
Joru,2014.0,Comedy            ,"Joru Telugu Movie - Latest Theatrical Trailer - Sundeep Kishan, Rashi Khanna",https://www.youtube.com/watch?v=f_sYsnlBdJs
Galipatam,2014.0,Drama            ,"Galipatam Movie Theatrical Trailer || Aadi, Erica Fernandes, Kristina Akheeva",https://www.youtube.com/watch?v=RarJ2pOnGAI
Emo Gurram Egaravachu,2014.0,Drama            ,Emo gurram egara vachu trailer | sumanth | pinky|,https://www.youtube.com/watch?v=auG5-295fjI
Lakshmi Raave Maa Intiki,2014.0,"Drama, Family, Romance            ",Lakshmi Raave Maa Intiki | Theatrical Trailer | Naga Shourya | Avika Gor | Ali | Saptagiri,https://www.youtube.com/watch?v=0ca3Xyi2BDI
Govindudu Andari Vaadele,2014.0,"Action, Drama            ","Govindudu Andarivadele Theatrical Trailer || Ram Charan, Srikanth, Kajal Aggarwal(HD)",https://www.youtube.com/watch?v=HFAcjf3pKbs
Rabhasa,2014.0,"Action, Comedy            ","Ramayya Vasthavayya Movie Theatrical Trailer - Jr.Ntr,Samantha, Shruthi Hasan",https://www.youtube.com/watch?v=lVbpn9MQFYs
Yevadu,2014.0,"Action, Thriller            ","Ram Charan Yevadu Official Theatrical Trailer HD - Ram Charan, Shruti Haasan, Allu Arjun, DSP",https://www.youtube.com/watch?v=r6YZjpuEh4Q
Run Raja Run,2014.0,"Comedy, Drama            ","Run Raja Run Theatrical Trailer - Sharwanand, Seerat Kapoor, Vennela Kishore",https://www.youtube.com/watch?v=pdLh89YMyJI
